NAME	TITLE	SCORE	
PPP1R15B	protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]	3.7887523E-5	
MAP3K2	mitogen-activated protein kinase kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6854]	3.7119265E-5	
PANK3	pantothenate kinase 3 [Source:HGNC Symbol;Acc:HGNC:19365]	3.610383E-5	
TOP2B	DNA topoisomerase II beta [Source:HGNC Symbol;Acc:HGNC:11990]	3.5430483E-5	
EXOG	exo/endonuclease G [Source:HGNC Symbol;Acc:HGNC:3347]	3.5409794E-5	
TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	3.518679E-5	
NR1D2	nuclear receptor subfamily 1 group D member 2 [Source:HGNC Symbol;Acc:HGNC:7963]	3.414241E-5	
PRRC1	proline rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28164]	3.4104614E-5	
TTC3P1	tetratricopeptide repeat domain 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23318]	3.3564345E-5	
MED13	mediator complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:22474]	3.3384258E-5	
CPD	carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]	3.3319717E-5	
SETD7	SET domain containing 7, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:30412]	3.3283468E-5	
NHLRC2	NHL repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:24731]	3.270506E-5	
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16469]	3.2250457E-5	
LNPK	lunapark, ER junction formation factor [Source:HGNC Symbol;Acc:HGNC:21610]	3.222108E-5	
GOLGB1	golgin B1 [Source:HGNC Symbol;Acc:HGNC:4429]	3.1855718E-5	
BBX	BBX high mobility group box domain containing [Source:HGNC Symbol;Acc:HGNC:14422]	3.180792E-5	
DYNLT1	dynein light chain Tctex-type 1 [Source:HGNC Symbol;Acc:HGNC:11697]	3.1724012E-5	
POLD2P1	DNA polymerase delta 2, accessory subunit pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:41522]	3.158409E-5	
NELFE	negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974]	3.154987E-5	
PPP1R3B	protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]	3.1389514E-5	
RAB10	RAB10, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9759]	3.084124E-5	
PTGES3P1	prostaglandin E synthase 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43824]	3.0725172E-5	
OIP5-AS1	OIP5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43563]	3.0508012E-5	
ERLIN2	ER lipid raft associated 2 [Source:HGNC Symbol;Acc:HGNC:1356]	3.0454601E-5	
SARAF	store-operated calcium entry associated regulatory factor [Source:HGNC Symbol;Acc:HGNC:28789]	2.9943078E-5	
SESTD1	SEC14 and spectrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18379]	2.9651495E-5	
MAN1A2	mannosidase alpha class 1A member 2 [Source:HGNC Symbol;Acc:HGNC:6822]	2.9505454E-5	
CHD9	chromodomain helicase DNA binding protein 9 [Source:HGNC Symbol;Acc:HGNC:25701]	2.9488194E-5	
ADNP	activity dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:HGNC:15766]	2.9463983E-5	
EHMT2	euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]	2.944006E-5	
ZNF252P	zinc finger protein 252, pseudogene [Source:HGNC Symbol;Acc:HGNC:13046]	2.911189E-5	
FGD5-AS1	FGD5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40410]	2.899718E-5	
ERG28	ergosterol biosynthesis 28 homolog [Source:HGNC Symbol;Acc:HGNC:1187]	2.8971874E-5	
GOPC	golgi associated PDZ and coiled-coil motif containing [Source:HGNC Symbol;Acc:HGNC:17643]	2.8710414E-5	
LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	2.8606255E-5	
LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 [Source:HGNC Symbol;Acc:HGNC:15606]	2.839876E-5	
PCM1	pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727]	2.8390015E-5	
ZNF264	zinc finger protein 264 [Source:HGNC Symbol;Acc:HGNC:13057]	2.8274053E-5	
SNX13	sorting nexin 13 [Source:HGNC Symbol;Acc:HGNC:21335]	2.823741E-5	
SBF2	SET binding factor 2 [Source:HGNC Symbol;Acc:HGNC:2135]	2.7961605E-5	
WASHC4	WASH complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:29174]	2.7811713E-5	
SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]	2.7770448E-5	
KCMF1	potassium channel modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:20589]	2.7643217E-5	
ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	2.7581395E-5	
ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [Source:HGNC Symbol;Acc:HGNC:13717]	2.7524671E-5	
MIA3	MIA SH3 domain ER export factor 3 [Source:HGNC Symbol;Acc:HGNC:24008]	2.7476104E-5	
BTBD7	BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]	2.7460668E-5	
LONRF2	LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]	2.7295502E-5	
PURB	purine rich element binding protein B [Source:HGNC Symbol;Acc:HGNC:9702]	2.7290476E-5	
OSBP	oxysterol binding protein [Source:HGNC Symbol;Acc:HGNC:8503]	2.7047372E-5	
FAM111A	FAM111 trypsin like peptidase A [Source:HGNC Symbol;Acc:HGNC:24725]	2.7019541E-5	
TMED7	transmembrane p24 trafficking protein 7 [Source:HGNC Symbol;Acc:HGNC:24253]	2.6932741E-5	
HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	2.6924885E-5	
NDFIP1	Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592]	2.6922065E-5	
CMTM4	CKLF like MARVEL transmembrane domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19175]	2.6897465E-5	
HS2ST1	heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5193]	2.689391E-5	
VPS41	VPS41 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:12713]	2.6732256E-5	
MARCHF6	membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550]	2.6732192E-5	
ZMYM2	zinc finger MYM-type containing 2 [Source:HGNC Symbol;Acc:HGNC:12989]	2.6483753E-5	
SERP1	stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]	2.6427346E-5	
IFIT5	interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]	2.6421794E-5	
RNF217	ring finger protein 217 [Source:HGNC Symbol;Acc:HGNC:21487]	2.6261921E-5	
RALGAPA1P1	RALGAPA1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23203]	2.6199468E-5	
CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	2.618194E-5	
NAT10	N-acetyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:29830]	2.608981E-5	
PPDPF	pancreatic progenitor cell differentiation and proliferation factor [Source:HGNC Symbol;Acc:HGNC:16142]	2.6071884E-5	
ZNF420	zinc finger protein 420 [Source:HGNC Symbol;Acc:HGNC:20649]	2.5979674E-5	
EXT2	exostosin glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3513]	2.5951513E-5	
FAM8A1	family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372]	2.5920941E-5	
RPL15	ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306]	2.584044E-5	
SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	2.573975E-5	
SAMD12	sterile alpha motif domain containing 12 [Source:HGNC Symbol;Acc:HGNC:31750]	2.5714504E-5	
LATS1	large tumor suppressor kinase 1 [Source:HGNC Symbol;Acc:HGNC:6514]	2.5638768E-5	
ARHGAP5	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]	2.560815E-5	
MED15	mediator complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:14248]	2.5447E-5	
KIF16B	kinesin family member 16B [Source:HGNC Symbol;Acc:HGNC:15869]	2.5388355E-5	
APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1 [Source:HGNC Symbol;Acc:HGNC:24035]	2.5367252E-5	
STT3B	STT3 oligosaccharyltransferase complex catalytic subunit B [Source:HGNC Symbol;Acc:HGNC:30611]	2.5176341E-5	
RNF166	ring finger protein 166 [Source:HGNC Symbol;Acc:HGNC:28856]	2.5162128E-5	
PDIA3P1	protein disulfide isomerase family A member 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4607]	2.5121068E-5	
NUS1	NUS1 dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:21042]	2.5075908E-5	
LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	2.504577E-5	
HACD2	3-hydroxyacyl-CoA dehydratase 2 [Source:HGNC Symbol;Acc:HGNC:9640]	2.4965308E-5	
G2E3	G2/M-phase specific E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:20338]	2.4915718E-5	
SLC36A1	solute carrier family 36 member 1 [Source:HGNC Symbol;Acc:HGNC:18761]	2.4891902E-5	
NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	2.4785328E-5	
EIF3E	eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]	2.4717394E-5	
TMEM214	transmembrane protein 214 [Source:HGNC Symbol;Acc:HGNC:25983]	2.469858E-5	
GOLM2	golgi membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:24892]	2.4486362E-5	
NAMPTP1	nicotinamide phosphoribosyltransferase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17633]	2.4441715E-5	
GOLGA4	golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]	2.4364437E-5	
BORCS6	BLOC-1 related complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:25939]	2.432288E-5	
SMIM15	small integral membrane protein 15 [Source:HGNC Symbol;Acc:HGNC:33861]	2.4317356E-5	
PTAR1	protein prenyltransferase alpha subunit repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30449]	2.4285988E-5	
USP1	ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]	2.4237104E-5	
CAPN7	calpain 7 [Source:HGNC Symbol;Acc:HGNC:1484]	2.4193356E-5	
TMEM192	transmembrane protein 192 [Source:HGNC Symbol;Acc:HGNC:26775]	2.4191477E-5	
LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	2.4132069E-5	
POLR1D	RNA polymerase I and III subunit D [Source:HGNC Symbol;Acc:HGNC:20422]	2.4093639E-5	
UBTD1	ubiquitin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25683]	2.4043955E-5	
ATRN	attractin [Source:HGNC Symbol;Acc:HGNC:885]	2.4042387E-5	
DCAF10	DDB1 and CUL4 associated factor 10 [Source:HGNC Symbol;Acc:HGNC:23686]	2.3923436E-5	
ANTXR2	ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]	2.3829632E-5	
ARMCX3	armadillo repeat containing X-linked 3 [Source:HGNC Symbol;Acc:HGNC:24065]	2.3809309E-5	
SNX18	sorting nexin 18 [Source:HGNC Symbol;Acc:HGNC:19245]	2.3746092E-5	
MLEC	malectin [Source:HGNC Symbol;Acc:HGNC:28973]	2.3694145E-5	
NUCB2	nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044]	2.3678376E-5	
VAPA	VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]	2.3666218E-5	
KDSR	3-ketodihydrosphingosine reductase [Source:HGNC Symbol;Acc:HGNC:4021]	2.3606355E-5	
ZNF91	zinc finger protein 91 [Source:HGNC Symbol;Acc:HGNC:13166]	2.3489489E-5	
NUDT4	nudix hydrolase 4 [Source:HGNC Symbol;Acc:HGNC:8051]	2.3444989E-5	
PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B [Source:HGNC Symbol;Acc:HGNC:9276]	2.3444047E-5	
NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	2.3439286E-5	
PLXDC2	plexin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21013]	2.3282857E-5	
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	2.3241584E-5	
EPS15	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]	2.3238948E-5	
TBC1D14	TBC1 domain family member 14 [Source:HGNC Symbol;Acc:HGNC:29246]	2.3110577E-5	
ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	2.2998956E-5	
ARL1	ADP ribosylation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:692]	2.298883E-5	
MIGA1	mitoguardin 1 [Source:HGNC Symbol;Acc:HGNC:24741]	2.2980541E-5	
SGK3	serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]	2.2915134E-5	
UBR3	ubiquitin protein ligase E3 component n-recognin 3 [Source:HGNC Symbol;Acc:HGNC:30467]	2.289283E-5	
FRS2	fibroblast growth factor receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:16971]	2.285506E-5	
ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	2.2842896E-5	
CNTN4	contactin 4 [Source:HGNC Symbol;Acc:HGNC:2174]	2.2819422E-5	
CALCOCO2	calcium binding and coiled-coil domain 2 [Source:HGNC Symbol;Acc:HGNC:29912]	2.2806846E-5	
VPS8	VPS8 subunit of CORVET complex [Source:HGNC Symbol;Acc:HGNC:29122]	2.2594939E-5	
RBSN	rabenosyn, RAB effector [Source:HGNC Symbol;Acc:HGNC:20759]	2.2552378E-5	
PRDM4	PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]	2.252468E-5	
POFUT1	protein O-fucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:14988]	2.2517723E-5	
MRPS30	mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]	2.2437447E-5	
ZNF146	zinc finger protein 146 [Source:HGNC Symbol;Acc:HGNC:12931]	2.239489E-5	
PHF8	PHD finger protein 8 [Source:HGNC Symbol;Acc:HGNC:20672]	2.228839E-5	
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:3356]	2.2222368E-5	
RBL2	RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]	2.2222142E-5	
OCRL	OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]	2.2209395E-5	
FBXO41	F-box protein 41 [Source:HGNC Symbol;Acc:HGNC:29409]	2.216945E-5	
HSDL1	hydroxysteroid dehydrogenase like 1 [Source:HGNC Symbol;Acc:HGNC:16475]	2.2065487E-5	
SCAMP1	secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]	2.2033344E-5	
SPATA6	spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309]	2.2030661E-5	
MEF2A	myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993]	2.1991662E-5	
UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:HGNC Symbol;Acc:HGNC:15947]	2.1921816E-5	
SLC39A14	solute carrier family 39 member 14 [Source:HGNC Symbol;Acc:HGNC:20858]	2.1859125E-5	
ERLEC1	endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222]	2.1854386E-5	
JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	2.1796668E-5	
SLC2A10	solute carrier family 2 member 10 [Source:HGNC Symbol;Acc:HGNC:13444]	2.1782547E-5	
ZNF761	zinc finger protein 761 [Source:HGNC Symbol;Acc:HGNC:23179]	2.1748778E-5	
TAOK1	TAO kinase 1 [Source:HGNC Symbol;Acc:HGNC:29259]	2.1706193E-5	
BEX4	brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]	2.17035E-5	
PATZ1	POZ/BTB and AT hook containing zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13071]	2.164215E-5	
ELP2	elongator acetyltransferase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:18248]	2.1629241E-5	
LNPEP	leucyl and cystinyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:6656]	2.1596376E-5	
ALG2	ALG2 alpha-1,3/1,6-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23159]	2.1532289E-5	
STRBP	spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16462]	2.1526444E-5	
ARL8B	ADP ribosylation factor like GTPase 8B [Source:HGNC Symbol;Acc:HGNC:25564]	2.1525571E-5	
UHMK1	U2AF homology motif kinase 1 [Source:HGNC Symbol;Acc:HGNC:19683]	2.1518119E-5	
RNF185	ring finger protein 185 [Source:HGNC Symbol;Acc:HGNC:26783]	2.1489288E-5	
PKN2	protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]	2.1469095E-5	
ITSN2	intersectin 2 [Source:HGNC Symbol;Acc:HGNC:6184]	2.1445574E-5	
WNK1	WNK lysine deficient protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:14540]	2.1373793E-5	
CDK5RAP2	CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672]	2.1368647E-5	
DHRS4	dehydrogenase/reductase 4 [Source:HGNC Symbol;Acc:HGNC:16985]	2.1364143E-5	
FAM118A	family with sequence similarity 118 member A [Source:HGNC Symbol;Acc:HGNC:1313]	2.1362664E-5	
NKTR	natural killer cell triggering receptor [Source:HGNC Symbol;Acc:HGNC:7833]	2.135672E-5	
DNAJC10	DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]	2.1316191E-5	
STX7	syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]	2.1298572E-5	
SCARB2	scavenger receptor class B member 2 [Source:HGNC Symbol;Acc:HGNC:1665]	2.1252974E-5	
EIF4E3	eukaryotic translation initiation factor 4E family member 3 [Source:HGNC Symbol;Acc:HGNC:31837]	2.124133E-5	
KBTBD7	kelch repeat and BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:25266]	2.1213078E-5	
ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	2.1200998E-5	
FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	2.118664E-5	
POLR1H	RNA polymerase I subunit H [Source:HGNC Symbol;Acc:HGNC:13182]	2.1169615E-5	
SEPTIN8	septin 8 [Source:HGNC Symbol;Acc:HGNC:16511]	2.1161766E-5	
NIPBL	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]	2.1134465E-5	
PBX1	PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]	2.1059494E-5	
GATAD1	GATA zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29941]	2.1013671E-5	
FAM172A	family with sequence similarity 172 member A [Source:HGNC Symbol;Acc:HGNC:25365]	2.0966945E-5	
JMY	junction mediating and regulatory protein, p53 cofactor [Source:HGNC Symbol;Acc:HGNC:28916]	2.09544E-5	
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	2.0869773E-5	
CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	2.0864658E-5	
NIPSNAP2	nipsnap homolog 2 [Source:HGNC Symbol;Acc:HGNC:4179]	2.0861147E-5	
MESD	mesoderm development LRP chaperone [Source:HGNC Symbol;Acc:HGNC:13520]	2.0785426E-5	
EIF3L	eukaryotic translation initiation factor 3 subunit L [Source:HGNC Symbol;Acc:HGNC:18138]	2.0727502E-5	
AHSA2P	activator of HSP90 ATPase homolog 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:20437]	2.0681651E-5	
EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]	2.0665464E-5	
ZFYVE9	zinc finger FYVE-type containing 9 [Source:HGNC Symbol;Acc:HGNC:6775]	2.0647658E-5	
DPY19L4	dpy-19 like 4 [Source:HGNC Symbol;Acc:HGNC:27829]	2.0572501E-5	
CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	2.0559677E-5	
GPR160	G protein-coupled receptor 160 [Source:HGNC Symbol;Acc:HGNC:23693]	2.053255E-5	
SLC25A22	solute carrier family 25 member 22 [Source:HGNC Symbol;Acc:HGNC:19954]	2.0485948E-5	
SLC25A20	solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421]	2.0479067E-5	
ZNF254	zinc finger protein 254 [Source:HGNC Symbol;Acc:HGNC:13047]	2.0456635E-5	
FRMD8	FERM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25462]	2.0451933E-5	
SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	2.0445645E-5	
UFL1	UFM1 specific ligase 1 [Source:HGNC Symbol;Acc:HGNC:23039]	2.0377473E-5	
SLC38A1	solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]	2.036057E-5	
DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]	2.0351754E-5	
TMEM245	transmembrane protein 245 [Source:HGNC Symbol;Acc:HGNC:1363]	2.0331634E-5	
SV2A	synaptic vesicle glycoprotein 2A [Source:HGNC Symbol;Acc:HGNC:20566]	2.0268624E-5	
ICE2	interactor of little elongation complex ELL subunit 2 [Source:HGNC Symbol;Acc:HGNC:29885]	2.0249221E-5	
BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	2.0233772E-5	
ZNF275	zinc finger protein 275 [Source:HGNC Symbol;Acc:HGNC:13069]	2.0221023E-5	
TDRP	testis development related protein [Source:HGNC Symbol;Acc:HGNC:26951]	2.0196781E-5	
ESRP1	epithelial splicing regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:25966]	2.0185042E-5	
